Jornada;Equipo1;Equipo2;Resultado
6;Atletico de Bilbao;Sabadell;1
6;Atletico de Madrid;Elche;1
6;Barcelona;Espanol;1
6;Sporting de Gijon;Valencia;2
6;Granada;Las Palmas;1
6;CD Malaga;Real Madrid;2
6;Real Sociedad;Sevilla;1
6;Zaragoza;Celta de Vigo;0
7;Elche;Atletico de Bilbao;0
7;Espanol;Atletico de Madrid;0
7;Granada;Real Sociedad;1
7;Las Palmas;Celta de Vigo;2
7;Real Madrid;Barcelona;2
7;Sabadell;Zaragoza;1
7;Sevilla;Sporting de Gijon;0
7;Valencia;CD Malaga;1
8;Barcelona;Valencia;2
8;Atletico de Bilbao;Espanol;1
8;Atletico de Madrid;Real Madrid;0
8;Celta de Vigo;Sabadell;1
8;Sporting de Gijon;Granada;1
8;Las Palmas;Real Sociedad;1
8;CD Malaga;Sevilla;0
8;Zaragoza;Elche;0
9;Elche;Celta de Vigo;0
9;Espanol;Zaragoza;0
9;Granada;CD Malaga;0
9;Real Sociedad;Sporting de Gijon;1
9;Real Madrid;Atletico de Bilbao;2
9;Sabadell;Las Palmas;0
9;Sevilla;Barcelona;2
9;Valencia;Atletico de Madrid;1
10;Atletico de Bilbao;Valencia;0
10;Atletico de Madrid;Sevilla;1
10;Barcelona;Granada;1
10;Celta de Vigo;Espanol;1
10;Las Palmas;Sporting de Gijon;2
10;CD Malaga;Real Sociedad;0
10;Sabadell;Elche;1
10;Zaragoza;Real Madrid;2
11;Espanol;Sabadell;1
11;Sporting de Gijon;CD Malaga;1
11;Granada;Atletico de Madrid;0
11;Las Palmas;Elche;0
11;Real Sociedad;Barcelona;1
11;Real Madrid;Celta de Vigo;1
11;Sevilla;Atletico de Bilbao;1
11;Valencia;Zaragoza;1
12;Atletico de Bilbao;Granada;1
12;Atletico de Madrid;Real Sociedad;1
12;Barcelona;Sporting de Gijon;1
12;Celta de Vigo;Valencia;1
12;Elche;Espanol;0
12;CD Malaga;Las Palmas;0
12;Sabadell;Real Madrid;0
12;Zaragoza;Sevilla;1
